sensor_a,sensor_b,plume_a,plume_b,dist_km,dt_hours,dt_bin,rate_a_kg_hr,rate_b_kg_hr,rate_ratio_a_over_b,lat,lon
GHGSat,Tanager,GHGSat_site145_20221229,tan20250217t034814c00s4001-A,0.54,18741.7,>=30d,6124.180820145145,,,10.66752343,106.67236797
EMIT,Tanager,emi20240123t073426p05002-A,tan20260410t052726c20s4001-C,0.5,19389.9,>=30d,,177.6504265731093,,16.89658302193746,96.0217399229836
EMIT,GHGSat,emi20250126t050409p04009-A,GHGSat_site115_20221108,1.13,-19438.4,>=30d,,4823.11556975597,,14.057756437339492,99.96184644073662
GHGSat,Tanager,GHGSat_site41_20221231,tan20250320t032304c00s4001-A,0.39,19441.5,>=30d,7386.780319754182,2252.033940900086,3.280048397850459,22.41744268,113.93224044
GHGSat,Tanager,GHGSat_site40_20221231,tan20250403t032440c00s4001-A,0.46,19773.7,>=30d,4887.801634078885,9937.796080744163,0.49183959847492426,22.54386267,114.16929594
GHGSat,Tanager,GHGSat_site40_20221229,tan20250410t032526c00s4001-A,0.19,19989.8,>=30d,5697.056950592886,1985.7072127074528,2.869031705245769,22.54481,114.17201
EMIT,GHGSat,emi20250217t065009p05036-A,GHGSat_site115_20221104,0.3,-20064.2,>=30d,,2381.83393067003,,14.057993390463524,99.9619118116089
GHGSat,Tanager,GHGSat_site41_20221228,tan20250508t032900c00s4001-B,0.47,20685.6,>=30d,6642.405130865466,1342.969065154592,4.946059669736953,22.41684627,113.93322015
EMIT,Tanager,emi20230424t060911p04036-A,tan20250919t044315c71s4001-B,0.37,21094.6,>=30d,,612.8653817971546,,13.583448528537572,100.67473183387408
GHGSat,Tanager,GHGSat_site40_20221223,tan20250522t033150c40s4001-A,0.21,21141.9,>=30d,4836.12084692282,1537.2917571700646,3.1458705378251888,22.54438991,114.17031515
EMIT,Tanager,emi20231220t070651p05014-A,tan20260531t051516c36s4001-B,0.26,21430.1,>=30d,,,,14.055903228531278,99.96219044192634
GHGSat,Tanager,GHGSat_site41_20221225,tan20250607t034604c36s4001-A,0.09,21478.0,>=30d,5836.235614736566,2619.001055757204,2.2284204895248494,22.41845981,113.93379077
GHGSat,Tanager,GHGSat_site41_20221224,tan20250607t034604c36s4001-F,0.85,21506.0,>=30d,7153.272103437352,872.5301150370526,8.19830969746366,22.41850842,113.9327382
GHGSat,Tanager,GHGSat_site146_20221024,tan20250416t040627c00s4001-A,0.33,21721.7,>=30d,7863.311091023752,1322.391285580159,5.946281691938073,21.33640952,105.83472703
EMIT,Tanager,emi20230623t045729p03032-A,tan20251228t033836c62s4001-A,0.43,22054.7,>=30d,858.4027749805232,1459.9028769888948,0.5879862205292804,14.701147974932738,120.91905618004432
EMIT,Tanager,emi20231107t005349p01003-B,tan20260608t043254c92s4001-A,0.24,22659.7,>=30d,582.8262172061959,,,-6.135028186634798,106.616814983376
