site_ID,lat,lon,year,month,day,hour,minute,second,Q_t_per_hr,Q_error_t_per_hr,wind_speed_m_per_s,sat_ID,obs_ID,date,IME_kg,intermediate_results_L_m,intermediate_results_effective_wind_speed_m_per_s,conversion_ch4_ppb_to_molm2,manually_pinned_sources,plume_tif_file_name,sensor,datetime,emission_kg_hr,uncertainty_kg_hr,source
115,14.05497738,99.97201635,2022,2,23,3,45,52,3.2384386282507,1.3152020180612565,3.4,1,7Y4714Y,2022-02-23 03:45:52,591.8053851316395,1194.7074902347335,1.8160000000000005,0.0003573897,(14.054200;99.971600),C1_20220223_20220421_7Y4714Y_3380_CH4PL.tif,GHGSat (open sample),2022-02-23 03:45:52+00:00,3238.4386282507,1315.2020180612565,GHGSat open Zenodo release (2021-2022)
115,14.05764439,99.97227276,2022,9,14,2,52,15,3.336853567777103,1.6379178384674629,2.04,2,-aE6W4Z,2022-09-14 02:52:15,532.1101983425316,777.0648784694972,1.3536,0.0003573897,(14.057400;99.972800),C2_20220914_20220920_-aE6W4Z_6081_CH4PL.tif,GHGSat (open sample),2022-09-14 02:52:15+00:00,3336.8535677771033,1637.9178384674628,GHGSat open Zenodo release (2021-2022)
115,14.06608449,99.97663576,2022,9,14,2,52,15,1.163585018446143,0.5759308741216238,2.04,2,-aE6W4Z,2022-09-14 02:52:15,129.1674201242054,540.9382740326004,1.3536,0.0003573897,(14.068900;99.978000//14.065900;99.977200),C2_20220914_20220920_-aE6W4Z_6082_CH4PL.tif,GHGSat (open sample),2022-09-14 02:52:15+00:00,1163.5850184461428,575.9308741216238,GHGSat open Zenodo release (2021-2022)
115,14.05498049,99.96150433,2022,10,13,3,39,55,1.3621044043112882,0.5405865329994078,3.61,1,6ag514Z,2022-10-13 03:39:55,77.4339012615438,386.2666336019685,1.8874,0.0003573897,(14.054600;99.961600),C1_20221013_20221015_6ag514Z_6951_CH4PL.tif,GHGSat (open sample),2022-10-13 03:39:55+00:00,1362.1044043112881,540.5865329994078,GHGSat open Zenodo release (2021-2022)
115,14.05612809,99.97190737,2022,10,13,3,39,55,2.4479348661555176,0.9710449014236036,3.61,1,6ag514Z,2022-10-13 03:39:55,282.2918824690308,783.5468757025008,1.8874,0.0003573897,(14.056300;99.971600),C1_20221013_20221015_6ag514Z_6950_CH4PL.tif,GHGSat (open sample),2022-10-13 03:39:55+00:00,2447.9348661555177,971.0449014236035,GHGSat open Zenodo release (2021-2022)
115,14.0567726,99.97307196,2022,10,13,6,40,42,4.776821473984227,1.7187785438442735,4.34,3,DagB14Z,2022-10-13 06:40:42,1146.0617610530917,1844.554215987648,2.1356,0.0003573897,(14.056100;99.972100),C3_20221013_20221018_DagB14Z_6955_CH4PL.tif,GHGSat (open sample),2022-10-13 06:40:42+00:00,4776.821473984227,1718.7785438442736,GHGSat open Zenodo release (2021-2022)
115,14.05752532,99.97216332,2022,10,18,6,37,22,2.017216941069167,0.8308062962101193,3.27,4,HajO14Z,2022-10-18 06:37:22,237.28551880151835,750.301519460228,1.7718000000000005,0.0003573897,(14.057100;99.972100),C4_20221018_20221022_HajO14Z_7121_CH4PL.tif,GHGSat (open sample),2022-10-18 06:37:22+00:00,2017.216941069167,830.8062962101193,GHGSat open Zenodo release (2021-2022)
115,14.06040687,99.96761287,2022,10,18,6,37,22,0.8140696785236103,0.3476541048703236,3.27,4,HajO14Z,2022-10-18 06:37:22,71.04500822082298,556.6589396354874,1.7718000000000005,0.0003573897,(14.059600;99.967100),C4_20221018_20221022_HajO14Z_7122_CH4PL.tif,GHGSat (open sample),2022-10-18 06:37:22+00:00,814.0696785236104,347.65410487032364,GHGSat open Zenodo release (2021-2022)
115,14.06857658,99.97522172,2022,11,3,3,42,35,1.64741613638871,0.93473141062305,1.37,1,6b16W4Z,2022-11-03 03:42:35,220.48412047386543,542.4225624892598,1.1258,0.0003573897,(14.069400;99.975100),C1_20221103_20221108_6b16W4Z_7456_CH4PL.tif,GHGSat (open sample),2022-11-03 03:42:35+00:00,1647.4161363887101,934.73141062305,GHGSat open Zenodo release (2021-2022)
115,14.05588533,99.97270643,2022,11,3,3,42,35,3.31092530683774,1.8753781864604144,1.37,1,6b16W4Z,2022-11-03 03:42:35,855.9295413011374,1047.7372329071873,1.1258,0.0003573897,(14.057500;99.971500),C1_20221103_20221108_6b16W4Z_7455_CH4PL.tif,GHGSat (open sample),2022-11-03 03:42:35+00:00,3310.9253068377398,1875.3781864604143,GHGSat open Zenodo release (2021-2022)
115,14.05659909,99.96429569,2022,11,4,6,37,34,2.38183393067003,0.967375151268029,3.45,4,Hb2-14Z,2022-11-04 06:37:34,410.0988196910116,1136.1665717037552,1.833,0.0003573897,(14.055400;99.964200),C4_20221104_20221109_Hb2-14Z_7482_CH4PL.tif,GHGSat (open sample),2022-11-04 06:37:34+00:00,2381.83393067003,967.375151268029,GHGSat open Zenodo release (2021-2022)
115,14.05568659,99.97214538,2022,11,8,6,39,21,4.82311556975597,1.821594096966223,3.87,3,Db4514Z,2022-11-08 06:39:21,1215.717686740354,1792.8772169353688,1.9758,0.0003573897,(14.056200;99.972800),C3_20221108_20221117_Db4514Z_7708_CH4PL.tif,GHGSat (open sample),2022-11-08 06:39:21+00:00,4823.11556975597,1821.5940969662229,GHGSat open Zenodo release (2021-2022)
115,14.05639864,99.97237291,2022,12,4,6,33,58,2.155728801834527,0.8509321595413607,3.87,3,DbV8W4Z,2022-12-04 06:33:58,243.83933004091256,804.5538438719334,1.9758,0.0003573897,(14.056300;99.972500),C3_20221204_20221213_DbV8W4Z_8276_CH4PL.tif,GHGSat (open sample),2022-12-04 06:33:58+00:00,2155.728801834527,850.9321595413606,GHGSat open Zenodo release (2021-2022)
115,14.05619401,99.97114514,2022,12,10,6,34,58,0.5288654110494612,0.4023058633046447,1.89,5,Lba814Z,2022-12-10 06:34:58,39.20001400357878,347.5798829480086,1.3026,0.0003573897,(14.056800;99.971900),C5_20221210_20221216_Lba814Z_8401_CH4PL.tif,GHGSat (open sample),2022-12-10 06:34:58+00:00,528.8654110494612,402.3058633046447,GHGSat open Zenodo release (2021-2022)
115,14.05595007,99.96351486,2022,12,10,6,34,58,0.0660707868443757,0.0660707868443757,1.89,5,Lba814Z,2022-12-10 06:34:58,1.963259818731468,139.34194677068982,1.3026,0.0003573897,(14.055500;99.962800),C5_20221210_20221216_Lba814Z_8400_CH4PL.tif,GHGSat (open sample),2022-12-10 06:34:58+00:00,66.0707868443757,66.0707868443757,GHGSat open Zenodo release (2021-2022)
115,14.06545737,99.97695793,2022,12,10,6,34,58,0.0666811174964831,0.0666811174964831,1.89,5,Lba814Z,2022-12-10 06:34:58,2.4116777815261967,169.60161656220214,1.3026,0.0003573897,(14.065800;99.977300),C5_20221210_20221216_Lba814Z_8402_CH4PL.tif,GHGSat (open sample),2022-12-10 06:34:58+00:00,66.6811174964831,66.6811174964831,GHGSat open Zenodo release (2021-2022)
115,14.0567325,99.96480732,2022,12,16,6,36,46,0.7879273968828214,0.365426927585139,2.56,4,HbgAW4Z,2022-12-16 06:36:46,65.58551731157996,458.5948831410525,1.5304000000000002,0.0003573897,(14.056400;99.965600),C4_20221216_20221222_HbgAW4Z_8586_CH4PL.tif,GHGSat (open sample),2022-12-16 06:36:46+00:00,787.9273968828214,365.426927585139,GHGSat open Zenodo release (2021-2022)
115,14.06870446,99.97784506,2022,12,16,6,36,46,0.3740767848434656,0.1806820376638519,2.56,4,HbgAW4Z,2022-12-16 06:36:46,19.42689380964838,286.12121940530733,1.5304000000000002,0.0003573897,(14.068500;99.977300),C4_20221216_20221222_HbgAW4Z_8587_CH4PL.tif,GHGSat (open sample),2022-12-16 06:36:46+00:00,374.07678484346565,180.6820376638519,GHGSat open Zenodo release (2021-2022)
115,14.05801618,99.97270219,2022,12,16,6,36,46,1.6617122370739277,0.7631696372567519,2.56,4,HbgAW4Z,2022-12-16 06:36:46,326.25839551132475,1081.716204805167,1.5304000000000002,0.0003573897,(14.057700;99.972800),C4_20221216_20221222_HbgAW4Z_8585_CH4PL.tif,GHGSat (open sample),2022-12-16 06:36:46+00:00,1661.7122370739278,763.1696372567519,GHGSat open Zenodo release (2021-2022)
115,14.05612,99.971907,2022,12,18,6,38,40,3.9183409230244943,1.0095801140843617,7.37,5,Lbi914Z,2022-12-18 06:38:40,318.5947907660508,926.6642873390144,3.1658000000000004,0.0003573897,(14.056700;99.971800),C5_20221218_20230114_Lbi914Z_9277_CH4PL.tif,GHGSat (open sample),2022-12-18 06:38:40+00:00,3918.3409230244943,1009.5801140843616,GHGSat open Zenodo release (2021-2022)
115,14.05374628,99.97290827,2022,12,21,6,31,16,2.1352749531892967,0.7112107843595977,4.94,3,Dbl-W4Z,2022-12-21 06:31:16,165.16645603374704,651.4966064926583,2.3396000000000003,0.0003573897,(14.054000;99.973500),C3_20221221_20230105_Dbl-W4Z_8862_CH4PL.tif,GHGSat (open sample),2022-12-21 06:31:16+00:00,2135.274953189297,711.2107843595977,GHGSat open Zenodo release (2021-2022)
144,16.04315691,108.14194196,2022,5,30,2,18,30,1.4119486463689743,1.037653219568668,0.5,2,AZYBfor,2022-05-30 02:18:30,333.5569505402365,705.881315710242,0.8300000000000001,0.0003567299,(16.043500;108.142000),C2_20220530_20220607_AZYBfor_4124_CH4PL.tif,GHGSat (open sample),2022-05-30 02:18:30+00:00,1411.9486463689743,1037.653219568668,GHGSat open Zenodo release (2021-2022)
